station,code,led,array_x,array_y,R,G,B
Aldgate,940GZZLUALD,76,64,6,155,0,88
Liverpool Street,940GZZLULVT,75,63,6,155,0,88
Moorgate,940GZZLUMGT,74,62,6,155,0,88
Barbican,940GZZLUBBN,73,61,6,155,0,88
Farringdon,940GZZLUFCN,72,60,6,155,0,88
King's Cross St. Pancras,940GZZLUKSX,71,59,6,155,0,88
Euston Square,940GZZLUESQ,70,58,6,155,0,88
Great Portland Street,940GZZLUGPS,69,57,6,155,0,88
Baker Street,940GZZLUBST,68,56,6,155,0,88
Finchley Road,940GZZLUFYR,67,55,6,155,0,88
Wembley Park,940GZZLUWYP,66,54,6,155,0,88
Preston Road,940GZZLUPRD,65,53,6,155,0,88
Northwick Park,940GZZLUNKP,64,52,6,155,0,88
Harrow-on-the-Hill,940GZZLUHOH,63,51,6,155,0,88
North Harrow,940GZZLUNHA,56,44,6,155,0,88
Pinner,940GZZLUPNR,49,37,6,155,0,88
Northwood Hills,940GZZLUNWH,42,30,6,155,0,88
Northwood,940GZZLUNOW,35,23,6,155,0,88
Moor Park,940GZZLUMPK,28,16,6,155,0,88
Rickmansworth,940GZZLURKW,24,13,6,155,0,88
Chorleywood,940GZZLUCYD,23,11,6,155,0,88
Chalfont & Latimer,940GZZLUCAL,21,9,6,155,0,88
Amersham,940GZZLUAMS,13,1,6,155,0,88
West Harrow,940GZZLUWHW,86,51,7,155,0,88
Rayners Lane,940GZZLURYL,85,51,8,155,0,88
Eastcote,940GZZLUEAE,84,51,9,155,0,88
Ruislip Manor,940GZZLURSM,83,51,11,155,0,88
Ruislip,940GZZLURSP,82,51,12,155,0,88
Ickenham,940GZZLUICK,81,51,13,155,0,88
Hillingdon,940GZZLUHGD,80,51,14,155,0,88
Uxbridge,940GZZLUUXB,113,51,15,155,0,88
Chesham,940GZZLUCSM,103,9,9,155,0,88
Croxley,940GZZLUCXY,94,16,9,155,0,88
Watford,940GZZLUWAF,97,16,12,155,0,88